Store Name,SKU,Product Name,Opening Stock (Table),Movement History,Expected Stock,Current Stock (DB),Discrepancy
สาขา0000,SKU-889591-kxqqg,แว่นตาว่ายน้ำผู้ใหญ่ 8025-UV,3994,-277,3717,-277,-3994
สาขา0000,SKU-889591-ugf30,จานร่อน,3967,-12,3955,-12,-3967
สาขา0000,SKU-889591-loap6,กระเป๋ากันน้ำขนาด 5 ลิตร,3729,-72,3657,-72,-3729
สาขา0000,SKU-889591-ovxot,กระเป๋ากันน้ำขนาด 10 ลิตร,3646,-66,3580,-66,-3646
สาขา0000,SKU-889591-3oa5n,แว่นตาว่ายน้ำผู้ใหญ่ 8016-UV,3498,-349,3149,-349,-3498
สาขา0000,SKU-889591-7rd2o,แว่นตาว่ายน้ำผู้ใหญ่ 8016,4850,-1677,3173,-177,-3350
สาขา0000,SKU-889591-4ajwv,กระเป๋ากันน้ำขนาด 15 ลิตร,3245,-25,3220,-25,-3245
สาขา0000,SKU-889591-r4v6a,กระเป๋ากันน้ำขนาด 3 ลิตร,2731,-48,2683,-48,-2731
สาขา0000,SKU-889591-f236d,แว่นตาว่ายน้ำ PVC คละแบบ (เดิม ชื่อ แว่นตาว่ายน้ำผู้ใหญ่ PVC ),2557,-12,2545,-12,-2557
สาขา0000,SKU-889591-f1nt4,กระเป๋ากันน้ำขนาด 20 ลิตร,2088,0,2088,0,-2088
สาขา0000,SKU-889591-5myie,กระเป๋ากันน้ำขนาด 25 ลิตร,1597,-12,1585,-12,-1597
สาขา0000,SKU-889591-4pn16,กระดานโต้คลื่น 26 นิ้ว,2785,432,3217,1632,-1585
สาขา0000,SKU-889591-yy000,กระเป๋ากันน้ำขนาด 1.5 ลิตร,1548,-36,1512,-36,-1548
สาขา0000,SKU-889591-osay9,แว่นตาว่ายน้ำเด็ก 5031,1423,-115,1308,-115,-1423
สาขา0000,SKU-889591-azjcd,โฟมช่วยลอยน้ำพร้อมข้อต่อ 6 CM.,1296,0,1296,0,-1296
สาขา0000,SKU-889591-wtdol,กระเป๋ากันน้ำขนาด 2 ลิตร,1257,-6,1251,-6,-1257
สาขา0000,SKU-889591-qbl6z,ผ้าม๊อบ 10 นิ้ว,636,600,1236,2,-1234
สาขา0000,SKU-889591-fve3d,ห่วงยางขาสอดแฟนซี คละแบบ,1159,0,1159,-60,-1219
สาขา0000,SKU-889591-jme1d,เสื้อแฟชั่น คละแบบ,1181,-2,1179,-2,-1181
สาขา0000,SKU-889591-s1w38,ลูกบอลเป่าลม คละแบบ,1124,0,1124,0,-1124
สาขา0000,SKU-889591-bsv2m,รองเท้าชายหาด รุ่นสปอร์ท คละแบบ,1097,-72,1025,-72,-1097
สาขา0000,SKU-889591-megh8,สน๊อกเกิ้ลดำน้ำ 658,1664,-642,1022,-42,-1064
สาขา0000,SKU-889591-to2e5,หน้ากากดำน้ำ คละแบบ,1019,862,1881,862,-1019
สาขา0000,SKU-889591-4c7k5,ห่วงยางเป่าลมเด็กแฟนซี คละแบบ,1011,2000,3011,2000,-1011
สาขา0000,SKU-889591-8p64s,ผ้าชายหาดทอลาย คละแบบ,1961,1749,3710,2749,-961
สาขา0000,SKU-889591-bytqs,ซองกันน้ำ คละแบบ,957,0,957,0,-957
สาขา0000,SKU-889591-ywbdk,รองเท้าชายหาดเด็ก คละแบบ,944,0,944,0,-944
สาขา0000,SKU-889591-4jw4f,ปลอกแขนเด็กลอยน้ำ คละแบบ,833,0,833,0,-833
สาขา0000,SKU-889591-f7q01,ที่อุดหู อุดจมูก,799,0,799,0,-799
สาขา0000,SKU-889591-s5jjm,หมวกสาน คละแบบ,796,19,815,19,-796
สาขา0000,SKU-889591-3n0y7,สน๊อกเกิ้ลดำน้ำ 595,790,1200,1990,1200,-790
สาขา0000,SKU-889591-dhpob,รองเท้าชายหาดผู้ใหญ่ คละแบบ,759,0,759,0,-759
สาขา0000,SKU-889591-ew05l,ตีนกบ คละแบบ,950,-207,743,-7,-750
สาขา0000,SKU-889591-pzgzs,สน๊อกเกิ้ลดำน้ำผู้ใหญ่ คละแบบ,747,-20,727,-20,-747
สาขา0000,SKU-889591-tfosx,ของเล่น คละแบบ,588,-1,587,-1,-588
สาขา0000,SKU-889591-fkf1o,เสื้อชูชีพ (M),527,0,527,0,-527
สาขา0000,SKU-889591-fg273,ปลอกแขนชูชีพ (M/L) ,562,-50,512,0,-512
สาขา0000,SKU-889591-ps4zo,กระดานโต้คลื่นเป่าลม คละแบบ,507,0,507,0,-507
สาขา0000,SKU-889591-x37zn,พลั่วตักทราย,499,0,499,0,-499
สาขา0000,SKU-889591-3mm9k,แว่นตาว่ายน้ำ คละแบบ,641,350,991,500,-491
สาขา0000,SKU-889591-7ldi6,ที่วางแก้วลอยน้ำ คละแบบ,472,0,472,0,-472
สาขา0000,SKU-889591-6jmne,สูบลมมือ,435,0,435,0,-435
สาขา0000,SKU-889591-l9q7r,ผ้าขนหนู คละแบบ,113,2000,2113,1685,-428
สาขา0000,SKU-889591-6xszd,สูบลมไฟฟ้า,414,0,414,0,-414
สาขา0000,SKU-889591-iu1o1,ตักทรายถังใหญ่ลายการ์ตูน 9296,401,0,401,0,-401
สาขา0000,SKU-889591-70cm2,ผ้าเช็ดอเนกประสงค์สีเหลือง,400,0,400,0,-400
สาขา0000,SKU-889591-dix01,กางเกงขาสั้น แฟชั่น,396,-10,386,-9,-395
สาขา0000,SKU-889591-ebd3l,ของเล่นใต้น้ำ,492,-100,392,0,-392
สาขา0000,SKU-889591-71uaw,กระเป๋ากันน้ำขนาด 30 ลิตร,386,0,386,0,-386
สาขา0000,SKU-889591-m3c2l,กางเกงขาสั้น คละแบบ (ชาย),375,0,375,0,-375
สาขา0000,SKU-889591-tii1w,ฟุตบอล,374,-2,372,-2,-374
สาขา0000,SKU-889591-7p7os,เสื้อชูชีพเป่าลม คละแบบ,364,0,364,0,-364
สาขา0000,SKU-889591-styhx,ร่มพับสีพื้น,350,0,350,0,-350
สาขา0000,SKU-889591-f5qca,ร่มสั้นสามตอน อัตโนมัติ 23 นิ้ว,317,0,317,0,-317
สาขา0000,SKU-889591-oaamv,ร่มยาว POE ทรงญี่ปุ่น 25 นิ้ว,311,-1,310,-1,-311
สาขา0000,SKU-889591-mmyjz,กระเป๋ากันน้ำขนาด 40 ลิตร,299,0,299,0,-299
สาขา0000,SKU-889591-rgr8a,พลั่วตักทราย 733-312,338,-100,238,0,-238
สาขา0000,SKU-889591-pve5m,มีดอเนกประสงค์ด้ามพลาสติก,232,0,232,0,-232
สาขา0000,SKU-889591-5nmzl,เสื้อชูชีพ (S),224,0,224,0,-224
สาขา0000,SKU-889591-xi4gf,บีชวอลเล่ย์บอล,222,-1,221,-1,-222
สาขา0000,SKU-889591-mjja8,ที่คีบใสยาว 9 นิ้ว,220,0,220,0,-220
สาขา0000,SKU-889591-9qfbr,เหยือกวัดระดับน้ำ,216,0,216,0,-216
สาขา0000,SKU-889591-lfd6f,ไม้กวาดดอกหญ้า,210,0,210,0,-210
สาขา0000,SKU-889591-karwk,กางเกงขายาว คละลาย (ลายช้าง/ลายต้นมะพร้าว),203,1,204,1,-203
สาขา0000,SKU-889591-4rhmr,กางเกงขาสั้น คละแบบ (หญิง),202,0,202,0,-202
สาขา0000,SKU-889591-tzfyo,ชุดตักทรายถังปราสาท+ถาดปู 9268/P,196,48,244,48,-196
สาขา0000,SKU-889591-2fp6y,ไม้บีชบอล,189,600,789,600,-189
สาขา0000,SKU-889591-imkh3,ตักทรายถัง ชุดเล่นทรายจัมโบ้ #9243,178,24,202,24,-178
สาขา0000,SKU-889591-iej5u,ร่มยาวทูโทน,162,-1,161,-1,-162
สาขา0000,SKU-889591-uf09z,กระบอกฉีดน้ำ,162,0,162,0,-162
สาขา0000,SKU-889591-mjv8d,กางเกงขายาว แฟชั่น,160,-9,151,-9,-160
สาขา0000,SKU-889591-jwm1y,เสื้อ+กระโปรง แฟชั่น,149,-5,144,-5,-149
สาขา0000,SKU-889591-cnr64,ชุดเดรสแฟชั่น คละแบบ,145,0,145,0,-145
สาขา0000,SKU-889591-ss9wy,ผ้าม๊อบดันฝุ่น 24 นิ้ว,144,0,144,0,-144
สาขา0000,SKU-889591-ugbf2,ชุดว่ายน้ำ คละแบบ,215,-81,134,-1,-135
สาขา0000,SKU-889591-xgfee,กระโปรงแฟชั่น คละแบบ,131,-7,124,-7,-131
สาขา0000,SKU-889591-pa4ti,ชุดตักทรายถังใหญ่คละแบบ No.9299,131,72,203,72,-131
สาขา0000,SKU-889591-n4f9a,ตักทรายถังใหญ่ลายการ์ตูน 9297,130,191,321,191,-130
สาขา0000,SKU-889591-rhr0d,ชุดตักทรายถังบล๊อกปราสาท No.9257,128,120,248,120,-128
สาขา0000,SKU-889591-5el1s,โครเชต์ครอป-บราถัก,122,0,122,0,-122
สาขา0000,SKU-889591-9ddv5,เครื่องประดับ คละแบบ,122,-2,120,-2,-122
สาขา0000,SKU-889591-s793a,ไม้ม๊อบ 10 นิ้ว,120,0,120,0,-120
สาขา0000,SKU-889591-dyvaj,กระป๋องตักทราย RX789-48,119,0,119,0,-119
สาขา0000,SKU-889591-i3tv3,หินลับมีด,108,0,108,0,-108
สาขา0000,SKU-889591-isfom,ชุดเล่นทรายถัง 9208,107,48,155,48,-107
สาขา0000,SKU-889591-dwbpj,ชุดเล่นทรายถาดปู+บัว+ถัง No.9242,107,192,299,192,-107
