Store Name,SKU,Product Name,Opening Stock,Movement History,Expected Stock,Current Stock (DB),Discrepancy
สาขา0000,SKU-889591-qbl6z,ผ้าม๊อบ 10 นิ้ว,0,600,600,2,-598
สาขา0000,SKU-889591-l9q7r,ผ้าขนหนู คละแบบ,0,2000,2000,1685,-315
สาขา0000,SKU-889591-fve3d,ห่วงยางขาสอดแฟนซี คละแบบ,0,0,0,-60,-60
สาขา0000,SKU-889591-dix01,กางเกงขาสั้น แฟชั่น,0,-10,-10,-9,1
สาขา0000,SKU-889591-kdrqm,ชุดเดรสสั้น,0,-2,-2,2,4
สาขา0000,SKU-889591-1196c,กางเกงขาสั้น คละลาย (ลายช้าง/ลายต้นมะพร้าว),0,3,3,8,5
สาขา0000,SKU-889591-fg273,ปลอกแขนชูชีพ (M/L) ,0,-50,-50,0,50
สาขา0000,SKU-889591-ugbf2,ชุดว่ายน้ำ คละแบบ,0,-81,-81,-1,80
สาขา0000,SKU-889591-rgr8a,พลั่วตักทราย 733-312,0,-100,-100,0,100
สาขา0000,SKU-889591-ebd3l,ของเล่นใต้น้ำ,0,-100,-100,0,100
สาขา0000,SKU-889591-3mm9k,แว่นตาว่ายน้ำ คละแบบ,0,350,350,500,150
สาขา0000,SKU-889591-ew05l,ตีนกบ คละแบบ,0,-207,-207,-7,200
สาขา0000,SKU-889591-p2sq3,สน๊อกเกิ้ลดำน้ำ 594,0,340,340,840,500
สาขา0000,SKU-889591-megh8,สน๊อกเกิ้ลดำน้ำ 658,0,-642,-642,-42,600
สาขา0000,SKU-889591-8p64s,ผ้าชายหาดทอลาย คละแบบ,0,1749,1749,2749,1000
สาขา0000,SKU-889591-4pn16,กระดานโต้คลื่น 26 นิ้ว,0,432,432,1632,1200
สาขา0000,SKU-889591-7rd2o,แว่นตาว่ายน้ำผู้ใหญ่ 8016,0,-1677,-1677,-177,1500
สาขา0000,SKU-889591-j1663,กระดานโต้คลื่น 17 นิ้ว,0,839,839,2759,1920
สาขา0000,SKU-889591-154go,แพยางเป่าลมแฟนซี คละแบบ,0,5147,5147,7117,1970
สาขา0000,SKU-889591-59ypf,ห่วงยางเป่าลมแฟนซี คละแบบ,0,5201,5201,7201,2000
สาขา0000,SKU-889591-0gt9j,กระดานโต้คลื่น 41 นิ้ว,0,1098,1098,3270,2172
สาขา0000,SKU-889591-vt30v,สน๊อกเกิ้ลดำน้ำ 250,0,892,892,3192,2300
สาขา0000,SKU-889591-uok8p,กระดานโต้คลื่น 33 นิ้ว,0,1032,1032,3432,2400
สาขา0000,SKU-889591-k7i2m,โฟมช่วยลอยน้ำพร้อมข้อต่อ 7 CM.,0,1454,1454,5954,4500
สาขา0003,SKU-889591-0gt9j,กระดานโต้คลื่น 41 นิ้ว,0,-227,-227,-275,-48
สาขา0003,SKU-889591-uok8p,กระดานโต้คลื่น 33 นิ้ว,0,-424,-424,-448,-24
สาขา0003,SKU-889591-4jw4f,ปลอกแขนเด็กลอยน้ำ คละแบบ,0,-13,-13,-12,1
สาขา0003,SKU-889591-fkf1o,เสื้อชูชีพ (M),0,-3,-3,-2,1
สาขา0003,SKU-889591-w3cnw,แม๊กเน็ตติดตู้เย็น คละแบบ,0,-2,-2,-1,1
สาขา0003,SKU-889591-6jmne,สูบลมมือ,0,-1,-1,0,1
สาขา0003,SKU-889591-ywbdk,รองเท้าชายหาดเด็ก คละแบบ,0,-8,-8,-7,1
สาขา0003,SKU-889591-6xszd,สูบลมไฟฟ้า,0,-1,-1,0,1
สาขา0003,SKU-889591-dyvaj,กระป๋องตักทราย RX789-48,0,-1,-1,0,1
สาขา0003,SKU-889591-ps4zo,กระดานโต้คลื่นเป่าลม คละแบบ,0,-1,-1,0,1
สาขา0003,SKU-889591-5el1s,โครเชต์ครอป-บราถัก,0,-7,-7,-6,1
สาขา0003,SKU-889591-iej5u,ร่มยาวทูโทน,0,-1,-1,0,1
สาขา0003,SKU-601551-sk8fi,เสื้อแฟชั่นแขนกุด คละสี,0,-2,-2,0,2
สาขา0003,SKU-889591-71uaw,กระเป๋ากันน้ำขนาด 30 ลิตร,0,-28,-28,-26,2
สาขา0003,SKU-889591-5nmzl,เสื้อชูชีพ (S),0,-4,-4,-1,3
สาขา0003,SKU-889591-9ddv5,เครื่องประดับ คละแบบ,0,-10,-10,-7,3
สาขา0003,SKU-889591-krrqj,เบ็ดเตล็ด คละแบบ #1,0,-11,-11,-8,3
สาขา0003,SKU-889591-mmudd,ชุดเดรสมัดย้อม,0,-9,-9,-6,3
สาขา0003,SKU-889591-s5jjm,หมวกสาน คละแบบ,0,15,15,19,4
สาขา0003,SKU-601551-tbql5,หมวกแฟชั่น,0,-8,-8,-4,4
สาขา0003,SKU-601551-da2df,กางเกงขาจั๊ม,0,-7,-7,-3,4
สาขา0003,SKU-889591-odoft,เสื้อแขนยาว แฟชั่น,0,-9,-9,-5,4
สาขา0003,SKU-889591-mmyjz,กระเป๋ากันน้ำขนาด 40 ลิตร,0,-4,-4,0,4
สาขา0003,SKU-889591-r6pvj,เสื้อเชิ้ตแฟชั่น ผู้ชาย,0,-13,-13,-8,5
สาขา0003,SKU-889591-nrkow,กระโปรงแฟชั่น คละสี,0,-14,-14,-8,6
